id,en_question,score,true_answer,pred_answer,reason
Al-en-01,What is a common snack for preschool kids in China?,2,"['dried fruit', 'sweets', 'potato chips', 'cheese stick', 'chips', 'ad calcium milk', 'candy', 'ice cream', 'sweet']",biscuits,"The predicted answer 'biscuits' is weakly related to the true answers as both are types of snacks, but 'biscuits' is not specifically mentioned in the true answers."
Al-en-02,What is a popular food to go with beer in China?,4,"['pistachio', 'dried shrimp', 'barbecue', 'roast chicken', 'fried chicken', 'peanuts']",skewers,"The predicted answer 'skewers' is a sub-category of the true answer 'barbecue', which is a popular food to go with beer in China."
Al-en-04,What is the most popular fruit in China?,5,"['orange', 'apple', 'pear', 'watermelon']",Watermelon,The predicted answer 'Watermelon' matches one of the true answers exactly.
Al-en-06,What is a common school cafeteria food in China?,4,"['steamed bun', 'steamed stuffed bun', 'tomato scrambled eggs', 'spicy hot pot', 'rice', 'stir-fry', 'noodles', 'scrambled eggs with tomatoes', 'bun', 'cooked wheaten food', 'pasta']",Rice with stir-fried vegetables,"The predicted answer 'Rice with stir-fried vegetables' includes 'rice' and 'stir-fry', both of which are present in the true answers. Although the exact combination is not listed, the components are very similar to the true answers."
Al-en-08,What are the most commonly eaten snacks at shopping malls in China?,2,"['wangwang', 'sweets', 'melon seeds', 'potato chips', 'cake', 'chips', 'sunflower seeds', 'pastry', 'candy', 'sweet', 'spicy strips']",Bubble tea and roasted chestnuts,"The predicted answer 'Bubble tea and roasted chestnuts' is weakly related to the true answers. While both are snacks, they do not match any of the specific items listed in the true answers. The predicted items are not sub-categories of the true answers either."
Al-en-09,What is a popular snack at an amusement park in China?,1,"['cotton candy', 'bombing the giant squid', 'starch sausage', 'candied haw', 'fruit', 'marshmallow', 'tanghulu', 'spicy stir-fried squid', 'ice cream', 'sugar-coated haws']",popcorn,"The predicted answer 'popcorn' is unrelated to any of the true answers, which include various traditional Chinese snacks and sweets. There is no semantic similarity or sub-category match between 'popcorn' and the true answers."
Al-en-16,"At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)",5,"['4', '3']",3,The predicted answer '3' matches one of the true answers '3' under case-insensitive comparison.
Al-en-17,What is a popular afterschool sport for elementary schools in China?,2,"['basketball', 'rubber band skipping', 'jump rope', 'football', 'running', 'soccer', 'play football', 'badminton', 'play soccer']",Table tennis,"The predicted answer 'Table tennis' is weakly related to the true answers as it is a sport, but it does not match any of the specific sports listed in the true answers."
Al-en-18,For which subject do elementary students get private education in China?,5,"['mathematics', 'math', 'english', 'physics', 'literature', 'chinese']",Mathematics and English,The predicted answer 'Mathematics and English' matches two of the true answers 'mathematics' and 'english' after case-insensitive comparison.
Al-en-19,What is a popular second language for high school students in China?,5,"['english', 'japanese', 'korean']",English,The predicted answer 'English' matches one of the true answers 'english' under case-insensitive comparison.
