ID,Translation,prompt,response,prompt_no
Al-en-01,What is a common snack for preschool kids in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a common snack for preschool kids in China?
Answer:",Baozi (steamed buns),inst-4
Al-en-02,What is a popular food to go with beer in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular food to go with beer in China?
Answer:",Peanuts,inst-4
Al-en-04,What is the most popular fruit in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular fruit in China?
Answer:",Bananas.,inst-4
Al-en-06,What is a common school cafeteria food in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a common school cafeteria food in China?
Answer:",Rice.,inst-4
Al-en-08,What are the most commonly eaten snacks at shopping malls in China?,"Read the following question and provide a single answer without any explanations.

Question: What are the most commonly eaten snacks at shopping malls in China?
Answer:",Bubble tea and baozi.,inst-4
Al-en-09,What is a popular snack at an amusement park in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular snack at an amusement park in China?
Answer:",Baozi (steamed buns),inst-4
Al-en-16,"At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",3,inst-4
Al-en-17,What is a popular afterschool sport for elementary schools in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular afterschool sport for elementary schools in China?
Answer:",Table Tennis,inst-4
Al-en-18,For which subject do elementary students get private education in China?,"Read the following question and provide a single answer without any explanations.

Question: For which subject do elementary students get private education in China?
Answer:",Mathematics,inst-4
Al-en-19,What is a popular second language for high school students in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular second language for high school students in China?
Answer:",English,inst-4
Al-en-21,Which subject is the most important for gifted education in China?,"Read the following question and provide a single answer without any explanations.

Question: Which subject is the most important for gifted education in China?
Answer:",Mathematics,inst-4
Al-en-32,What is the main dish for Thanksgiving in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the main dish for Thanksgiving in China?
Answer:","Thanksgiving is not a traditional holiday in China, so there is no main dish for Thanksgiving in China.",inst-4
Al-en-33,What do people do to celebrate Halloween in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people do to celebrate Halloween in China?
Answer:","Halloween is not traditionally celebrated in China, but some people might participate in Halloween-themed events or parties, especially in larger cities and among expat communities.",inst-4
Al-en-34,What do people do to celebrate New Year's Day in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people do to celebrate New Year's Day in China?
Answer:","They celebrate with fireworks, family gatherings, and traditional food, marking the beginning of the Chinese New Year or Spring Festival.",inst-4
Al-en-35,What do people do to celebrate Christmas in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people do to celebrate Christmas in China?
Answer:","Decorate their homes with paper lanterns and flowers, and give apples wrapped in colored paper as gifts.",inst-4
Al-en-36,What food is associated with Halloween in China?,"Read the following question and provide a single answer without any explanations.

Question: What food is associated with Halloween in China?
Answer:",Yuebing (mooncakes),inst-4
Al-en-37,What food is associated with Christmas in China?,"Read the following question and provide a single answer without any explanations.

Question: What food is associated with Christmas in China?
Answer:",Apple,inst-4
Al-en-38,What food is associated with Valentine's day in China?,"Read the following question and provide a single answer without any explanations.

Question: What food is associated with Valentine's day in China?
Answer:","Qiaoqiao Day (Chinese Valentine's Day) is associated with Qiaoguo, a type of fried thin pastry made from flour and sugar.",inst-4
Al-en-39,What do people eat on their birthday in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people eat on their birthday in China?
Answer:",Noodles,inst-4
Al-en-40,What is a popular outdoor place for families to have fun with little kids in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular outdoor place for families to have fun with little kids in China?
Answer:",Beijing Zoo,inst-4
Al-en-43,What is a popular indoor activity for families in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular indoor activity for families in China?
Answer:",Playing Mahjong.,inst-4
An-ar-02,Where do university students have lunch in China?,"Read the following question and provide a single answer without any explanations.

Question: Where do university students have lunch in China?
Answer:",University canteens or cafeterias.,inst-4
An-ar-03,Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.),"Read the following question and provide a single answer without any explanations.

Question: Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.)
Answer:",6,inst-4
An-ar-08,"How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","Read the following question and provide a single answer without any explanations.

Question: How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)
Answer:",8,inst-4
An-ar-09,"How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)","Read the following question and provide a single answer without any explanations.

Question: How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)
Answer:",2,inst-4
An-ar-34,What is the most popular sport played in a team at school in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular sport played in a team at school in China?
Answer:",Basketball,inst-4
An-ar-35,Who is the most popular sport commentator in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most popular sport commentator in China?
Answer:",Zhang Lu,inst-4
An-ar-36,What is the most popular sport team in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular sport team in China?
Answer:",Beijing Guoan Football Club,inst-4
An-ar-43,What are the common places or venues where individuals in China usually gather to watch sports broadcasts?,"Read the following question and provide a single answer without any explanations.

Question: What are the common places or venues where individuals in China usually gather to watch sports broadcasts?
Answer:","Sports bars, restaurants, and homes.",inst-4
Ca-sp-05,"How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)","Read the following question and provide a single answer without any explanations.

Question: How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)
Answer:",3,inst-4
Ca-sp-06,Which is the most important meal of the day to people from China?,"Read the following question and provide a single answer without any explanations.

Question: Which is the most important meal of the day to people from China?
Answer:",Breakfast,inst-4
Ca-sp-08,What is the most common ingredient used in China's diet?,"Read the following question and provide a single answer without any explanations.

Question: What is the most common ingredient used in China's diet?
Answer:",Rice,inst-4
Ca-sp-09,What do people from China usually eat for dessert?,"Read the following question and provide a single answer without any explanations.

Question: What do people from China usually eat for dessert?
Answer:",Mooncakes,inst-4
Ca-sp-11,Which day of the week do people usually organize a family meal in China?,"Read the following question and provide a single answer without any explanations.

Question: Which day of the week do people usually organize a family meal in China?
Answer:",Sunday,inst-4
Ca-sp-14,Which is the most popular hot drink in China?,"Read the following question and provide a single answer without any explanations.

Question: Which is the most popular hot drink in China?
Answer:",Tea,inst-4
Ca-sp-19,What do young people from China usually drink at the night club?,"Read the following question and provide a single answer without any explanations.

Question: What do young people from China usually drink at the night club?
Answer:",Alcoholic beverages or cocktails.,inst-4
Ca-sp-21,At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.),"Read the following question and provide a single answer without any explanations.

Question: At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.)
Answer:",10,inst-4
Ca-sp-29,What tradition is there in China for New Year's Eve?,"Read the following question and provide a single answer without any explanations.

Question: What tradition is there in China for New Year's Eve?
Answer:",Family reunion dinner,inst-4
Ca-sp-38,Which is the typical type of house for a family in China?,"Read the following question and provide a single answer without any explanations.

Question: Which is the typical type of house for a family in China?
Answer:",Siheyuan (courtyard house),inst-4
Ca-sp-41,Where do the dependent elderly usually live in China?,"Read the following question and provide a single answer without any explanations.

Question: Where do the dependent elderly usually live in China?
Answer:",Many dependent elderly in China live with their families.,inst-4
Ca-sp-42,"How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)
Answer:",14,inst-4
Ca-sp-43,"How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)
Answer:",2,inst-4
Ca-sp-45,What type of destination is commonly chosen for a family vacation in China?,"Read the following question and provide a single answer without any explanations.

Question: What type of destination is commonly chosen for a family vacation in China?
Answer:",Beach resort or theme park.,inst-4
Gu-ch-05,What sports do seniors like the most in China?,"Read the following question and provide a single answer without any explanations.

Question: What sports do seniors like the most in China?
Answer:",Table Tennis,inst-4
Gu-ch-06,What sports do men like to play the most in China?,"Read the following question and provide a single answer without any explanations.

Question: What sports do men like to play the most in China?
Answer:",Table Tennis (Ping Pong),inst-4
Gu-ch-07,Who is the most famous basketball player in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most famous basketball player in China?
Answer:",Yao Ming,inst-4
Gu-ch-08,What is the most popular sports among children in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular sports among children in China?
Answer:",Table Tennis,inst-4
Gu-ch-09,What sports do women like to play the most in China?,"Read the following question and provide a single answer without any explanations.

Question: What sports do women like to play the most in China?
Answer:",Badminton and table tennis.,inst-4
Gu-ch-11,What sports event has China won the most gold medals at the Olympics?,"Read the following question and provide a single answer without any explanations.

Question: What sports event has China won the most gold medals at the Olympics?
Answer:",Table Tennis,inst-4
Gu-ch-15,What sports do male students in university like to play the most in China?,"Read the following question and provide a single answer without any explanations.

Question: What sports do male students in university like to play the most in China?
Answer:",Basketball,inst-4
Gu-ch-16,"How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",3,inst-4
Gu-ch-18,"How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",1.7,inst-4
Gu-ch-31,"What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",6,inst-4
Gu-ch-32,"What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",9,inst-4
Gu-ch-33,"From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",6,inst-4
Gu-ch-38,"What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",4,inst-4
Gu-ch-40,"What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:",15:00,inst-4
Gu-ch-41,"How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)
Answer:",1,inst-4
Ji-ko-02,What day of the week do people in China prefer to have company dinners?,"Read the following question and provide a single answer without any explanations.

Question: What day of the week do people in China prefer to have company dinners?
Answer:",Thursday,inst-4
Ji-ko-03,Which region/city has the highest number of financial companies in China?,"Read the following question and provide a single answer without any explanations.

Question: Which region/city has the highest number of financial companies in China?
Answer:",Shanghai,inst-4
Ji-ko-07,What is the most famous private company in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most famous private company in China?
Answer:",Alibaba Group,inst-4
Ji-ko-08,"What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",40,inst-4
Ji-ko-09,What do people typically eat during company get-together in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people typically eat during company get-together in China?
Answer:",Dumplings.,inst-4
Ji-ko-14,What is the representative export item of China?,"Read the following question and provide a single answer without any explanations.

Question: What is the representative export item of China?
Answer:",Electronics.,inst-4
Ji-ko-15,"How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:",1.5,inst-4
Ji-ko-16,Where do mothers stay for a certain period after childbirth for recovery in China?,"Read the following question and provide a single answer without any explanations.

Question: Where do mothers stay for a certain period after childbirth for recovery in China?
Answer:",Maternity hotel (or postpartum care center),inst-4
Ji-ko-19,What is China's most commonly given flower on Parents' Day?,"Read the following question and provide a single answer without any explanations.

Question: What is China's most commonly given flower on Parents' Day?
Answer:",Carnation,inst-4
Ji-ko-22,What do people especially spend their first salary on in China's society?,"Read the following question and provide a single answer without any explanations.

Question: What do people especially spend their first salary on in China's society?
Answer:","Traditionally, many people in China spend their first salary on gifts for their parents as a gesture of gratitude.",inst-4
Ji-ko-24,What is the most preferred recreational facility among children in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most preferred recreational facility among children in China?
Answer:",Playgrounds,inst-4
Ji-ko-25,What are the family-related holidays in China?,"Read the following question and provide a single answer without any explanations.

Question: What are the family-related holidays in China?
Answer:","Chinese New Year, Qingming Festival, Dragon Boat Festival, Mid-Autumn Festival.",inst-4
Ji-ko-26,What are the key milestones associated with children's independence from their parents in China's society?,"Read the following question and provide a single answer without any explanations.

Question: What are the key milestones associated with children's independence from their parents in China's society?
Answer:","Leaving home for education or work, marriage, and financial independence.",inst-4
Ji-ko-27,What is the common gift you give when visiting elderly parents in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the common gift you give when visiting elderly parents in China?
Answer:",Health supplements or tea.,inst-4
Ji-ko-28,When is the first day that people celebrate after a child is born in China?,"Read the following question and provide a single answer without any explanations.

Question: When is the first day that people celebrate after a child is born in China?
Answer:","The first day people celebrate after a child is born in China is the baby's one-month birthday, known as the ""Full Moon"" celebration or ""Man Yue"" in Chinese.",inst-4
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,"Read the following question and provide a single answer without any explanations.

Question: Which age's birthday is celebrated the most grandly in China's society?
Answer:",60th birthday,inst-4
Ji-ko-31,Where do middle and high school students in China usually study for exams?,"Read the following question and provide a single answer without any explanations.

Question: Where do middle and high school students in China usually study for exams?
Answer:",At home or at school.,inst-4
Ji-ko-33,Where do high school students in China usually go after dinner?,"Read the following question and provide a single answer without any explanations.

Question: Where do high school students in China usually go after dinner?
Answer:",They usually go home to study or to their rooms to do homework.,inst-4
Ji-ko-34,How do elementary school students in China go to school?,"Read the following question and provide a single answer without any explanations.

Question: How do elementary school students in China go to school?
Answer:","Elementary school students in China typically go to school by walking, riding bicycles, taking public transportation, or being driven by their parents.",inst-4
Ji-ko-35,What is the most common form of private education in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most common form of private education in China?
Answer:",Private tutoring.,inst-4
Ji-ko-36,Which subject’s academy/private educational institute do middle or high students most frequently attend in China?,"Read the following question and provide a single answer without any explanations.

Question: Which subject’s academy/private educational institute do middle or high students most frequently attend in China?
Answer:",Mathematics,inst-4
Ji-ko-37,What type of clothing do middle and high school students wear to school in China?,"Read the following question and provide a single answer without any explanations.

Question: What type of clothing do middle and high school students wear to school in China?
Answer:",Uniforms,inst-4
Ji-ko-38,Which major is considered the most difficult to gain admission to in China?,"Read the following question and provide a single answer without any explanations.

Question: Which major is considered the most difficult to gain admission to in China?
Answer:",Tsinghua University's School of Architecture.,inst-4
Ji-ko-39,What is the most commonly learned musical instrument by elementary school students in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most commonly learned musical instrument by elementary school students in China?
Answer:",Recorder,inst-4
Ji-ko-40,What do high school students typically do during break time in schools in China?,"Read the following question and provide a single answer without any explanations.

Question: What do high school students typically do during break time in schools in China?
Answer:","Socialize, play games, or engage in recreational activities.",inst-4
Ji-ko-41,What kind of shoes do students wear in schools in China?,"Read the following question and provide a single answer without any explanations.

Question: What kind of shoes do students wear in schools in China?
Answer:",Black canvas shoes.,inst-4
