question_id,score,num_annotated_answers,annotated_answers,prediction_preview
Al-en-01,0,9,"cheese stick, dried fruit, potato chips...",Mandarin oranges (橘子).
Al-en-02,1,6,"peanuts, fried chicken, dried shrimp...",Pretzels or Barbecue (烤串) skewers.
Al-en-04,1,4,"orange, apple, watermelon...",The most popular fruit in China is the mandarin orange (or tangerine).
Al-en-06,1,11,"noodles, cooked wheaten food, pasta...",Noodles with vegetables and meat.
Al-en-08,0,11,"potato chips, chips, wangwang...","Popcorn, fried chicken, bubble tea, fruit skewers, and snack foods like spicy peanuts or sesame ball..."
Al-en-09,0,10,"marshmallow, cotton candy, ice cream...",Popcorn.
Al-en-16,1,2,"3, 4",3
Al-en-17,0,9,"soccer, football, play soccer...",Table tennis.
Al-en-18,1,6,"mathematics, math, english...",Mandarin Chinese.
Al-en-19,1,3,"english, japanese, korean",English
Al-en-21,0,3,"mathematics, math, computer science",Mandarin Chinese
Al-en-32,0,2,"roast chicken, fish",Roast turkey (as it has become a popular dish in many Chinese households during Western holidays).
Al-en-33,1,3,"gathering, party, dress up","In China, Halloween is not a widely celebrated holiday, but some cities have events for foreigners o..."
Al-en-34,1,10,"pasting chinese couplets, pasting spring couplets, pasting new year scrolls...","People in China celebrate New Year's Day (Spring Festival) with family reunions, fireworks, eating d..."
Al-en-35,1,5,"gathering, party, shopping...","In China, people do not traditionally celebrate Christmas as a major holiday, but they might have fe..."
Al-en-36,0,1,pumpkin,Mooncakes.
Al-en-37,0,7,"turkey, fried chicken, steak...",Dumplings.
Al-en-38,1,1,chocolate,"Red dates (红枣) and chocolate are often given as gifts on Valentine's Day in China, symbolizing love ..."
Al-en-39,1,5,"birthday cake, cake, longevity noodles...",Noodles.
Al-en-40,1,4,"children's park, park, amusement park...","Parks, specifically children's theme parks or playgrounds like Happy Valley or Tianjin Children's Am..."
Al-en-43,1,4,"mahjong, play mahjong, watch tv...","Board games and card games, especially Mahjong."
An-ar-02,1,2,"university cafeteria, canteen",University students in China often have lunch in the school canteen.
An-ar-03,1,3,"6, 7, 1",7 (July)
An-ar-08,1,5,"9, 10, 11...","In China, high school students typically spend around 8 hours a day at school."
An-ar-09,0,2,"2, 3",Three
An-ar-34,1,4,"soccer, football, basketball...",Football (soccer)
An-ar-35,0,1,huang jianxiang,Huang Lei.
An-ar-36,1,7,"table tennis team, ping pong team, real madrid...","The most popular sport team in China is the Chinese national soccer (football) team, particularly th..."
An-ar-43,1,5,"family, home, pub...","Sports broadcast viewing in China commonly takes place in living rooms, bars, cafes, and public spor..."
Ca-sp-05,0,1,3,Three
Ca-sp-06,1,3,"dinner, lunch, breakfast",Breakfast.
Ca-sp-08,1,7,"rice, white flour, spring onion...",Rice.
Ca-sp-09,0,5,"cake, pastry, cakes and pastries...",Tangyuan (汤圆)
Ca-sp-11,0,3,"friday, saturday, whenever it happens, it happens",Sundays.
Ca-sp-14,1,2,"milk tea, tea",Tea (特别是绿茶)
Ca-sp-19,1,4,"cocktail, beer, alcohol...","Young people in China at nightclubs often drink cocktails, beer, and soft drinks."
Ca-sp-21,0,2,"2, 1",07 (July) and 08 (August)
Ca-sp-29,1,10,"set off firecrackers, lucky money, send red envelope...",Family reunion dinner.
Ca-sp-38,1,5,"apartment building, apartment, house...",Semi-detached or courtyard house (Siheyuan).
Ca-sp-41,0,7,"children's home, rural area, countryside...","In China, the dependent elderly often live with their children, in extended families or in dedicated..."
Ca-sp-42,1,3,"14, 24, 2",24
Ca-sp-43,1,3,"0, 1, 3 days",3
Ca-sp-45,1,8,"popular city attractions, countryside views, rural beauty...",A popular choice for a family vacation in China is a historical city with cultural significance and ...
Gu-ch-05,1,6,"walk, practice tai chi, playing tai chi...",Tai Chi.
Gu-ch-06,1,5,"basketball, soccer, football...",Table tennis.
Gu-ch-07,1,10,"yao ming, ming yao, zhizhi wang...",Yao Ming.
Gu-ch-08,1,5,"basketball, soccer, football...",Table tennis.
Gu-ch-09,1,6,"badminton, yoga, running...",Badminton and Table Tennis.
Gu-ch-11,1,4,"ping pong, table tennis, diving...",China has won the most gold medals in table tennis at the Olympics.
Gu-ch-15,0,6,"basketball, soccer, football...",Table tennis.
Gu-ch-16,0,1,3,2.5 (on average)
Gu-ch-18,0,2,"1, 2","One or two children, on average."
Gu-ch-31,1,1,6,6
Gu-ch-32,1,1,9,9
Gu-ch-33,1,5,"5, 6, 10...",6
Gu-ch-38,1,1,4,4
Gu-ch-40,0,3,"16:30, 17:00, 16:00",14:30
Gu-ch-41,1,3,"1, 0, 2",1
Ji-ko-02,1,2,"friday, saturday","In China, people often prefer to have company dinners on weekends, particularly Saturdays or Sundays..."
Ji-ko-03,1,3,"shanghai, beijing, hong kong",Shanghai
Ji-ko-07,1,5,"tencent, alibaba, huawei...",Alibaba Group.
Ji-ko-08,0,6,"40, 76, 50...",44
Ji-ko-09,1,8,"hot pot, barbecue, hot dishes...",Dumplings or hot pot.
Ji-ko-14,0,6,"yiwu small commodities, mobile phone, textile...","China is known for exporting a wide range of products, but its most iconic and representative export..."
Ji-ko-15,1,3,"1, 1.5, 0.5",1.5
Ji-ko-16,1,5,"postpartum care center, hospital, maternal home...",Maternity rooms or postpartum care units in hospitals.
Ji-ko-19,0,1,carnation,Rose.
Ji-ko-22,1,5,"clothes, gift, presents...","In China, many people often use their first salary to treat themselves or their family to a special ..."
Ji-ko-24,0,5,"swing, slide, amusement park...",Playgrounds
Ji-ko-25,1,9,"mid-autumn festival, lunar new year, spring festival...","Spring Festival, Mid-Autumn Festival, and Chongyang Festival."
Ji-ko-26,0,4,"work, college graduate, buy a house...",Completion of higher education and finding a stable job.
Ji-ko-27,1,6,"health care products, fruit basket, milk...",Fruit.
Ji-ko-28,1,4,"first month, one month old, birth feast...","The first day that people celebrate after a child is born in China is called the ""满月酒"" (mǎn yuè jiǔ)..."
Ji-ko-29,1,5,"80, 90, 20...","The most grandly celebrated birthday in Chinese society is that of the person turning 60 years old, ..."
Ji-ko-31,1,4,"school, classroom, extracurricular tutoring class...",Middle and high school students in China usually study for exams at their schools.
Ji-ko-33,1,7,"home, go home, playground...",High school students in China usually go to school or study at home after dinner.
Ji-ko-34,1,3,"parent pick-up and drop-off, walk, take the bus","Elementary school students in China usually walk, ride bicycles, or take public transportation (such..."
Ji-ko-35,0,5,"private school, foreign language school, internation school...",Private tutoring or kaiwu jiaoyu (课外教育) is the most common form of private education in China.
Ji-ko-36,1,3,"mathematics, english, physics","In China, middle and high school students most frequently attend mathematics and science academies o..."
Ji-ko-37,1,2,"school uniform, sportswear",Mandatory school uniforms.
Ji-ko-38,1,6,"medicine, aerospace science, law...","In China, the most difficult major to gain admission to is typically Medicine (especially in top-tie..."
Ji-ko-39,1,7,"piano, guitar, violin...",Piano.
Ji-ko-40,1,8,"go to the toilet, chat, play...","Play basketball or engage in various classroom activities, often studying or chatting with friends."
Ji-ko-41,1,2,"sneakers, leather shoes","In schools across China, students typically wear sports shoes or casual sneakers."
Ji-ko-42,1,5,"mathematics, math, chinese...","Math, Chinese Language, Foreign Language (usually English), Physics, Chemistry, Biology, Geography, ..."
Ji-ko-44,1,3,"beijing, zhejiang, shanghai","Haidian District, Beijing"
Ji-ko-45,0,4,"holiday, dance, national day...",Performances and Cultural Activities.
Jo-sp-01,0,3,"basketball, soccer, football",Table tennis.
Jo-sp-02,0,7,"chinese chess, guandan, fishing...",Tai Chi.
Jo-sp-09,1,2,"golf, tennis",Golf and horse racing.
Jo-sp-13,1,6,"swimming, diving, jet ski...",Dragon boat racing.
Jo-sp-14,1,4,"go, chinese chess, mahjong...",Mahjong
Jo-sp-18,1,5,"10, 15, 115...",11
Jo-sp-19,0,6,"henan, northeast, northeast plain...",The Yangtze River Delta.
Jo-sp-21,0,4,"12:00, 12:30, 13:00...",一般是12:00或13:00。
Jo-sp-31,0,5,"22:00, 17:15, 18:00...",15:30
Jo-sp-32,0,9,"running, soccer, football...","Martial arts (such as Taekwondo or Kung Fu, but often traditional Chinese martial arts like Tai Chi ..."
Jo-sp-36,0,5,"8, 10, 6...",2
Jo-sp-37,0,3,"8, 7, 3",4-6
Jo-sp-39,1,2,"6, 7",6
Jo-sp-43,0,2,"1, 2",One
Jod-ch-01,1,1,chopsticks,Chopsticks.
Jod-ch-04,1,7,"coke, cola, bubble tea...",Coca-Cola
Jod-ch-06,0,5,"bai, white liquor, chinese spirits...",The most popular traditional alcohol in China is baijiu.
Jod-ch-07,1,3,"2, 1.5, 1",1.5
Jod-ch-09,1,2,"18:00, 19:00",18:00 - 20:00
Jod-ch-12,0,5,"tomato potato soup, pork bone soup, fresh soup...",Hot pot.
Jod-ch-13,1,8,"roasted sausage, barbecue skewers, sugar-coated haws...","Jiaozi (dumplings), Jianbing (Chinese crepe), Xiaolongbao (soup dumplings), Zhajiangmian (noodles wi..."
Jod-ch-15,1,8,"crab, fish, salmon...","People in China enjoy various seafood, including fish, shrimp, crab, scallops, and sea cucumbers."
Jod-ch-16,1,4,"lunar new year, spring festival, chinese new year...","The biggest festival in China is the Chinese New Year, also known as Spring Festival."
Jod-ch-28,1,5,"high-speed rail, airplane, high-speed train...",High-speed train.
Jod-ch-30,1,7,"chinese knot, couplet, new year scrolls...",Red lanterns and couplets with lucky messages.
Jod-ch-37,1,7,"diving, ping pong, table tennis...","Women in China enjoy watching a variety of sports, but volleyball, basketball, and table tennis are ..."
Jod-ch-38,0,7,"soccer, football, basketball...",Table tennis.
Jod-ch-41,0,12,"shopping, travel, tourism...","Dancing, often contemporary or square dancing, is a popular leisure activity for young females in Ch..."
