ID,Translation,prompt,response,prompt_no
Al-en-01,What is a common snack for preschool kids in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a common snack for preschool kids in China?",Fruit slices or rice crackers.,pers-3
Al-en-02,What is a popular food to go with beer in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a popular food to go with beer in China?",Peanuts or skewered meats (such as lamb skewers known as 羊肉串).,pers-3
Al-en-04,What is the most popular fruit in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular fruit in China?",Bananas.,pers-3
Al-en-06,What is a common school cafeteria food in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a common school cafeteria food in China?",Rice with stir-fried vegetables and meat.,pers-3
Al-en-08,What are the most commonly eaten snacks at shopping malls in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What are the most commonly eaten snacks at shopping malls in China?","Baozi (steamed buns), jianbing (Chinese crepes), bubble tea, and various types of fruit and skewered meats are commonly eaten snacks at shopping malls in China.",pers-3
Al-en-09,What is a popular snack at an amusement park in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a popular snack at an amusement park in China?",Stinky tofu (臭豆腐),pers-3
Al-en-16,"At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)",3,pers-3
Al-en-17,What is a popular afterschool sport for elementary schools in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a popular afterschool sport for elementary schools in China?",Table tennis (ping pong).,pers-3
Al-en-18,For which subject do elementary students get private education in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

For which subject do elementary students get private education in China?",Mathematics.,pers-3
Al-en-19,What is a popular second language for high school students in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a popular second language for high school students in China?",English,pers-3
Al-en-21,Which subject is the most important for gifted education in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which subject is the most important for gifted education in China?",Mathematics.,pers-3
Al-en-32,What is the main dish for Thanksgiving in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the main dish for Thanksgiving in China?","China does not traditionally celebrate Thanksgiving, so there is no main dish for Thanksgiving in Chinese culture.",pers-3
Al-en-33,What do people do to celebrate Halloween in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people do to celebrate Halloween in China?","Halloween is not a traditional festival in China, and while some people, especially in larger cities and among the younger generation, may participate in Halloween-themed parties or events, it is not widely celebrated across the country in the same way it is in Western countries.",pers-3
Al-en-34,What do people do to celebrate New Year's Day in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people do to celebrate New Year's Day in China?","People celebrate Chinese New Year by having family reunions, eating festive meals, giving red envelopes with money (hongbao), setting off fireworks, and watching dragon and lion dances.",pers-3
Al-en-35,What do people do to celebrate Christmas in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people do to celebrate Christmas in China?","Many people in China celebrate Christmas by going out to eat, shopping, exchanging gifts, and decorating with festive lights and Christmas trees, especially in urban areas. However, it's not a traditional holiday or a public holiday, so celebrations are more commercial and less about religious or family gatherings compared to Western countries.",pers-3
Al-en-36,What food is associated with Halloween in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What food is associated with Halloween in China?","Halloween is not a traditional festival in China, so there isn't a specific food associated with Halloween in Chinese culture. However, in urban areas where Halloween is celebrated, people might enjoy pumpkin-based dishes or candies similar to Western customs.",pers-3
Al-en-37,What food is associated with Christmas in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What food is associated with Christmas in China?",Apple.,pers-3
Al-en-38,What food is associated with Valentine's day in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What food is associated with Valentine's day in China?",Chocolate.,pers-3
Al-en-39,What do people eat on their birthday in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people eat on their birthday in China?","Noodles (often referred to as ""longevity noodles"" or ""birthday noodles"").",pers-3
Al-en-40,What is a popular outdoor place for families to have fun with little kids in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a popular outdoor place for families to have fun with little kids in China?",Beihai Park in Beijing,pers-3
Al-en-43,What is a popular indoor activity for families in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a popular indoor activity for families in China?",Playing mahjong.,pers-3
An-ar-02,Where do university students have lunch in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Where do university students have lunch in China?",University students in China often have lunch at the campus canteens or cafeterias.,pers-3
An-ar-03,Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.),"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.)",6,pers-3
An-ar-08,"How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)",8,pers-3
An-ar-09,"How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)",2,pers-3
An-ar-34,What is the most popular sport played in a team at school in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular sport played in a team at school in China?",Basketball,pers-3
An-ar-35,Who is the most popular sport commentator in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Who is the most popular sport commentator in China?","As an AI, I don't have real-time data, but as of my last update, one of the most popular sports commentators in China was Huang Jianxiang. However, popularity can vary based on the sport and current events, so there might be other commentators who are more popular at the moment.",pers-3
An-ar-36,What is the most popular sport team in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular sport team in China?",The most popular sport team in China is the Chinese national table tennis team.,pers-3
An-ar-43,What are the common places or venues where individuals in China usually gather to watch sports broadcasts?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What are the common places or venues where individuals in China usually gather to watch sports broadcasts?","Sports bars, restaurants, public squares with large screens, and internet cafes.",pers-3
Ca-sp-05,"How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)",3,pers-3
Ca-sp-06,Which is the most important meal of the day to people from China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which is the most important meal of the day to people from China?",The most important meal of the day to people from China is typically lunch.,pers-3
Ca-sp-08,What is the most common ingredient used in China's diet?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most common ingredient used in China's diet?",Rice.,pers-3
Ca-sp-09,What do people from China usually eat for dessert?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people from China usually eat for dessert?","Mooncakes during the Mid-Autumn Festival, and otherwise, desserts such as red bean buns, tangyuan, or fruit are common.",pers-3
Ca-sp-11,Which day of the week do people usually organize a family meal in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which day of the week do people usually organize a family meal in China?",Sunday,pers-3
Ca-sp-14,Which is the most popular hot drink in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which is the most popular hot drink in China?",The most popular hot drink in China is tea.,pers-3
Ca-sp-19,What do young people from China usually drink at the night club?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do young people from China usually drink at the night club?","Baijiu, beer, or cocktails.",pers-3
Ca-sp-21,At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.),"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.)",1,pers-3
Ca-sp-29,What tradition is there in China for New Year's Eve?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What tradition is there in China for New Year's Eve?",Setting off fireworks and firecrackers.,pers-3
Ca-sp-38,Which is the typical type of house for a family in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which is the typical type of house for a family in China?","The typical type of house for a family in urban China is an apartment or flat in a residential building. In rural areas, it might be a single-family home or a traditional courtyard house, depending on the region.",pers-3
Ca-sp-41,Where do the dependent elderly usually live in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Where do the dependent elderly usually live in China?",In their children's homes.,pers-3
