question_id,score,num_annotated_answers,annotated_answers,prediction_preview
Al-en-01,0,9,"cheese stick, dried fruit, potato chips...","Mandarin oranges (or jiaozi, a type of dumpling) are a common snack for preschool kids in China."
Al-en-02,0,6,"peanuts, fried chicken, dried shrimp...",Hot pot (火锅) is a popular food to go with beer in China.
Al-en-04,1,4,"orange, apple, watermelon...",The most popular fruit in China is the mandarin orange (or tangerine).
Al-en-06,1,11,"noodles, cooked wheaten food, pasta...",Rice and stir-fried vegetables with meat (such as fried rice or chow mein) are common school cafeter...
Al-en-08,1,11,"potato chips, chips, wangwang...","Popcorn, fried chicken, bubble tea, yogurt, candy, and snack foods like rice cakes, crispy snacks, a..."
Al-en-09,0,10,"marshmallow, cotton candy, ice cream...",Popcorn
Al-en-16,1,2,"3, 4",3
Al-en-17,0,9,"soccer, football, play soccer...",答案: Martial arts (such as Taekwondo or Chinese Kung Fu)
Al-en-18,1,6,"mathematics, math, english...",Mandarin Chinese
Al-en-19,1,3,"english, japanese, korean",English
Al-en-21,1,3,"mathematics, math, computer science",Mathematics
Al-en-32,0,2,"roast chicken, fish","The main dish for Thanksgiving in China is not a traditional part of the holiday, as Thanksgiving is..."
Al-en-33,1,3,"gathering, party, dress up",People in China do not have a widespread tradition of celebrating Halloween like it is in Western co...
Al-en-34,0,10,"pasting chinese couplets, pasting spring couplets, pasting new year scrolls...","People in China celebrate New Year's Day (Spring Festival) with various customs, including family re..."
Al-en-35,0,5,"gathering, party, shopping...","People in China celebrate Christmas in various ways, although it is not an officially recognized hol..."
Al-en-36,0,1,pumpkin,Mooncakes.
Al-en-37,0,7,"turkey, fried chicken, steak...","Rice cake (also known as ""nian gao"" in Chinese) is a traditional food associated with Christmas in C..."
Al-en-38,0,1,chocolate,Red date (also known as Chinese Valentine's Day cake or Nián Gāo) is traditionally associated with V...
Al-en-39,1,5,"birthday cake, cake, longevity noodles...",People eat noodles on their birthday in China.
Al-en-40,1,4,"children's park, park, amusement park...","One popular outdoor place for families to have fun with little kids in China is the amusement park, ..."
Al-en-43,1,4,"mahjong, play mahjong, watch tv...",Mahjong
An-ar-02,1,2,"university cafeteria, canteen",University students in China typically have lunch in their university canteens (食堂) or dining halls.
An-ar-03,0,3,"6, 7, 1",12
An-ar-08,1,5,"9, 10, 11...","The answer is not provided in the given information. However, on average, Chinese high school studen..."
An-ar-09,0,2,"2, 3","The number of languages that students study at high school in China is not a fixed value, as it can ..."
An-ar-34,1,4,"soccer, football, basketball...",The most popular sport played in a team at school in China is basketball.
An-ar-35,0,1,huang jianxiang,The most popular sport commentator in China can vary depending on personal preferences and current p...
An-ar-36,1,7,"table tennis team, ping pong team, real madrid...","The most popular sport team in China is typically the Chinese national soccer (football) team, parti..."
An-ar-43,1,5,"family, home, pub...","Television homes, public sports bars, and internet platforms (such as online streaming services) are..."
Ca-sp-05,0,1,3,Three
Ca-sp-06,1,3,"dinner, lunch, breakfast",Breakfast
Ca-sp-08,1,7,"rice, white flour, spring onion...",Rice
Ca-sp-09,0,5,"cake, pastry, cakes and pastries...",Tangyuan (汤圆)
Ca-sp-11,0,3,"friday, saturday, whenever it happens, it happens","In China, people usually organize a family meal on Sundays."
Ca-sp-14,1,2,"milk tea, tea","The most popular hot drink in China is tea, specifically green tea and jasmine tea."
Ca-sp-19,1,4,"cocktail, beer, alcohol...","It is difficult to provide a single answer as young people from China, like those in any other count..."
Ca-sp-21,0,2,"2, 1",7 (July) and 8 (August) are commonly considered peak holiday months in China due to the summer vacat...
Ca-sp-29,1,10,"set off firecrackers, lucky money, send red envelope...",Family reunion dinner.
Ca-sp-38,1,5,"apartment building, apartment, house...","The typical type of house for a family in China varies depending on factors such as location, urban ..."
Ca-sp-41,0,7,"children's home, rural area, countryside...","In China, the dependent elderly usually live with their families, particularly their adult children,..."
Ca-sp-42,1,3,"14, 24, 2",24
Ca-sp-43,0,3,"0, 1, 3 days",20
Ca-sp-45,0,8,"popular city attractions, countryside views, rural beauty...",Beijing and Shanghai
Gu-ch-05,1,6,"walk, practice tai chi, playing tai chi...","Tai Chi, Badminton, Table Tennis, and Squash are popular sports among seniors in China."
Gu-ch-06,1,5,"basketball, soccer, football...",Table tennis.
Gu-ch-07,1,10,"yao ming, ming yao, zhizhi wang...",Yao Ming
Gu-ch-08,1,5,"basketball, soccer, football...",The most popular sports among children in China is table tennis.
Gu-ch-09,1,6,"badminton, yoga, running...",Table tennis.
Gu-ch-11,1,4,"ping pong, table tennis, diving...",China has won the most gold medals in table tennis at the Olympics.
Gu-ch-15,0,6,"basketball, soccer, football...",Table Tennis
Gu-ch-16,1,1,3,The average number of people in a family in China is approximately 3.
Gu-ch-18,1,2,"1, 2","The one-child policy in China was implemented from 1979 to 2016, allowing couples to have only one c..."
Gu-ch-31,1,1,6,6
Gu-ch-32,1,1,9,9
Gu-ch-33,1,5,"5, 6, 10...",6
Gu-ch-38,1,1,4,4
Gu-ch-40,0,3,"16:30, 17:00, 16:00",The specific time for younger elementary school students to finish school in China varies across pro...
Gu-ch-41,0,3,"1, 0, 2","As an AI, I don't have access to current statistics or specific data on the exact number of musical ..."
Ji-ko-02,1,2,"friday, saturday","People in China prefer to have company dinners on weekends, typically Saturdays or Sundays."
Ji-ko-03,1,3,"shanghai, beijing, hong kong",Shanghai
