id,en_question,answer,verifier_decision,raw_answer,verifier_reason
Al-en-01,What is a common snack for preschool kids in China?,biscuits,REVISE,Steamed buns,Steamed buns are not a typical snack for preschool kids in China.
Al-en-02,What is a popular food to go with beer in China?,skewers,REVISE,Peking duck,Peking duck is not a typical food to go with beer in China. Common choices are skewers or peanuts.
Al-en-04,What is the most popular fruit in China?,Watermelon,REVISE,Apple,Apple is not the most popular fruit in China; it's more likely to be a fruit like watermelon.
Al-en-06,What is a common school cafeteria food in China?,Rice with stir-fried vegetables,ACCEPT,Rice with stir-fried vegetables,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
Al-en-08,What are the most commonly eaten snacks at shopping malls in China?,Bubble tea and roasted chestnuts,ACCEPT,Bubble tea and roasted chestnuts,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
Al-en-09,What is a popular snack at an amusement park in China?,popcorn,REVISE,Cotton candy,Cotton candy is not a typical snack specific to China; more common snacks include skewers or popcorn.
Al-en-16,"At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)",3,ACCEPT,3,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
Al-en-17,What is a popular afterschool sport for elementary schools in China?,Table tennis,ACCEPT,Table tennis,Table tennis is a culturally appropriate and popular afterschool sport for elementary schools in China.
Al-en-18,For which subject do elementary students get private education in China?,Mathematics and English,ACCEPT,Mathematics and English,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
Al-en-19,What is a popular second language for high school students in China?,English,ACCEPT,English,"The answer is culturally appropriate and typical in China, as English is a popular second language for high school students."
Al-en-21,Which subject is the most important for gifted education in China?,Mathematics,ACCEPT,Mathematics,Mathematics is indeed considered a crucial subject in gifted education in China and the language used is simple and easy to understand.
Al-en-32,What is the main dish for Thanksgiving in China?,China doesn't celebrate Thanksgiving.,ACCEPT,China doesn't celebrate Thanksgiving.,"The answer correctly states that China doesn't celebrate Thanksgiving, which is culturally appropriate."
Al-en-33,What do people do to celebrate Halloween in China?,Parties and costumes.,REVISE,Halloween is not traditionally celebrated in China.,The answer does not reflect modern youth behaviors in China regarding Halloween.
Al-en-34,What do people do to celebrate New Year's Day in China?,"Fireworks, family dinner",REVISE,They light fireworks and have a family reunion dinner.,"The answer refers to Chinese Lunar New Year, not January 1st. Fireworks and family dinners are typical for the Spring Festival."
Al-en-35,What do people do to celebrate Christmas in China?,"They often exchange gifts, decorate with Christmas lights, and enjoy a special meal. However, it's not a public holiday and not widely celebrated like in Western countries.",ACCEPT,"They often exchange gifts, decorate with Christmas lights, and enjoy a special meal. However, it's not a public holiday and not widely celebrated like in Western countries.",The answer is culturally appropriate and typical for young people in China. The English is simple and easy to understand.
Al-en-36,What food is associated with Halloween in China?,Halloween snacks,REVISE,Halloween is not traditionally celebrated in China.,"Halloween is celebrated in a modern way by some young people in China, often with parties or themed snacks."
Al-en-37,What food is associated with Christmas in China?,Apple,ACCEPT,Apple,"Apples are commonly associated with Christmas in China, especially among young people, due to the tradition of gifting 'peace apples' (平安果). The English is simple and easy to understand."
