id,en_question,score,true_answer,pred_answer,cos score
Al-en-01,What is a common snack for preschool kids in China?,2,"['cheese stick', 'sweet', 'sweets', 'candy', 'potato chips', 'chips', 'ice cream', 'dried fruit', 'ad calcium milk']","Mandarin oranges (or jiaozi, a type of dumpling) are a common snack for preschool kids in China.",0.320207477
Al-en-02,What is a popular food to go with beer in China?,2,"['fried chicken', 'pistachio', 'peanuts', 'dried shrimp', 'barbecue', 'roast chicken']",Hot pot (火锅) is a popular food to go with beer in China.,0.245358557
Al-en-04,What is the most popular fruit in China?,2,"['watermelon', 'pear', 'apple', 'orange']",The most popular fruit in China is the mandarin orange (or tangerine).,0.391368985
Al-en-06,What is a common school cafeteria food in China?,5,"['stir-fry', 'scrambled eggs with tomatoes', 'steamed bun', 'noodles', 'rice', 'bun', 'spicy hot pot', 'cooked wheaten food', 'tomato scrambled eggs', 'steamed stuffed bun', 'pasta']",Rice and stir-fried vegetables with meat (such as fried rice or chow mein) are common school cafeteria foods in China.,0.336901814
Al-en-08,What are the most commonly eaten snacks at shopping malls in China?,3,"['sunflower seeds', 'spicy strips', 'cake', 'sweets', 'sweet', 'candy', 'potato chips', 'melon seeds', 'chips', 'pastry', 'wangwang']","Popcorn, fried chicken, bubble tea, yogurt, candy, and snack foods like rice cakes, crispy snacks, and fruit skewers are commonly eaten snacks at shopping malls in China.",0.258790731
Al-en-09,What is a popular snack at an amusement park in China?,1,"['cotton candy', 'sugar-coated haws', 'spicy stir-fried squid', 'marshmallow', 'bombing the giant squid', 'tanghulu', 'ice cream', 'candied haw', 'starch sausage', 'fruit']",Popcorn,0.393722624
Al-en-16,"At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)",5,"['3', '4']",3,0.64077878
Al-en-17,What is a popular afterschool sport for elementary schools in China?,2,"['play soccer', 'basketball', 'jump rope', 'rubber band skipping', 'soccer', 'football', 'running', 'badminton', 'play football']",答案: Martial arts (such as Taekwondo or Chinese Kung Fu),0.214161769
Al-en-18,For which subject do elementary students get private education in China?,4,"['literature', 'chinese', 'mathematics', 'math', 'physics', 'english']",Mandarin Chinese,0.548004091
Al-en-19,What is a popular second language for high school students in China?,5,"['japanese', 'korean', 'english']",English,0.557213247
Al-en-21,Which subject is the most important for gifted education in China?,5,"['mathematics', 'computer science', 'math']",Mathematics,0.549452126
Al-en-32,What is the main dish for Thanksgiving in China?,2,"['roast chicken', 'fish']","The main dish for Thanksgiving in China is not a traditional part of the holiday, as Thanksgiving is an American celebration. However, Chinese people may have their own meals or dishes during the holiday, which can vary greatly depending on regional cuisines and personal preferences. There is no specific, universally agreed-upon main dish for Thanksgiving in China.",0.157137126
