id,en_question,score,true_answer,pred_answer,cos score
Al-en-01,What is a common snack for preschool kids in China?,2,"['dried fruit', 'sweets', 'potato chips', 'cheese stick', 'chips', 'ad calcium milk', 'candy', 'ice cream', 'sweet']",biscuits,0.440899342
Al-en-02,What is a popular food to go with beer in China?,4,"['pistachio', 'dried shrimp', 'barbecue', 'roast chicken', 'fried chicken', 'peanuts']",skewers,0.439159751
Al-en-04,What is the most popular fruit in China?,5,"['orange', 'apple', 'pear', 'watermelon']",Watermelon,0.747308135
Al-en-06,What is a common school cafeteria food in China?,4,"['steamed bun', 'steamed stuffed bun', 'tomato scrambled eggs', 'spicy hot pot', 'rice', 'stir-fry', 'noodles', 'scrambled eggs with tomatoes', 'bun', 'cooked wheaten food', 'pasta']",Rice with stir-fried vegetables,0.588970602
Al-en-08,What are the most commonly eaten snacks at shopping malls in China?,2,"['wangwang', 'sweets', 'melon seeds', 'potato chips', 'cake', 'chips', 'sunflower seeds', 'pastry', 'candy', 'sweet', 'spicy strips']",Bubble tea and roasted chestnuts,0.362682223
Al-en-09,What is a popular snack at an amusement park in China?,1,"['cotton candy', 'bombing the giant squid', 'starch sausage', 'candied haw', 'fruit', 'marshmallow', 'tanghulu', 'spicy stir-fried squid', 'ice cream', 'sugar-coated haws']",popcorn,0.39237842
Al-en-16,"At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)",5,"['4', '3']",3,0.64077878
Al-en-17,What is a popular afterschool sport for elementary schools in China?,2,"['basketball', 'rubber band skipping', 'jump rope', 'football', 'running', 'soccer', 'play football', 'badminton', 'play soccer']",Table tennis,0.496198952
Al-en-18,For which subject do elementary students get private education in China?,5,"['mathematics', 'math', 'english', 'physics', 'literature', 'chinese']",Mathematics and English,0.498728156
Al-en-19,What is a popular second language for high school students in China?,5,"['english', 'japanese', 'korean']",English,0.557213247
Al-en-21,Which subject is the most important for gifted education in China?,5,"['mathematics', 'math', 'computer science']",Mathematics,0.549452126
Al-en-32,What is the main dish for Thanksgiving in China?,1,"['roast chicken', 'fish']",China doesn't celebrate Thanksgiving.,0.161755249
Al-en-33,What do people do to celebrate Halloween in China?,4,"['party', 'dress up', 'gathering']",Parties and costumes.,0.627597809
Al-en-34,What do people do to celebrate New Year's Day in China?,3,"['visit relatives', 'dumplings', 'pasting chinese couplets', ""pay a new year's visit"", 'have the reunion dinner', 'set off firecrackers', 'pasting spring couplets', 'pasting new year scrolls', 'watch the spring festival gala', 'spring outing']","Fireworks, family dinner",0.47127834
Al-en-35,What do people do to celebrate Christmas in China?,3,"['send apples', 'have a big meal', 'party', 'gathering', 'shopping']","They often exchange gifts, decorate with Christmas lights, and enjoy a special meal. However, it's not a public holiday and not widely celebrated like in Western countries.",0.225362629
Al-en-36,What food is associated with Halloween in China?,1,['pumpkin'],Halloween snacks,0.483850271
Al-en-37,What food is associated with Christmas in China?,5,"['pizza', 'roast chicken', 'mulled wine', 'steak', 'fried chicken', 'turkey', 'apple']",Apple,0.627186537
Al-en-38,What food is associated with Valentine's day in China?,5,['chocolate'],Chocolate,0.712319851
Al-en-39,What do people eat on their birthday in China?,5,"['longevity noodles', 'cake', 'noodles', 'home-style cooking', 'birthday cake']",Longevity noodles,0.862871766
