id,en_question,score,true_answer,pred_answer,reason
Al-en-01,What is a common snack for preschool kids in China?,2,"['cheese stick', 'sweet', 'sweets', 'candy', 'potato chips', 'chips', 'ice cream', 'dried fruit', 'ad calcium milk']","Mandarin oranges (or jiaozi, a type of dumpling) are a common snack for preschool kids in China.","The predicted answer 'Mandarin oranges (or jiaozi, a type of dumpling)' is weakly related to the true answers. While both are snacks, the predicted items are not listed among the true answers, and they do not fall under the same category as the true answers, which are mostly sweets and processed snacks."
Al-en-02,What is a popular food to go with beer in China?,2,"['fried chicken', 'pistachio', 'peanuts', 'dried shrimp', 'barbecue', 'roast chicken']",Hot pot (火锅) is a popular food to go with beer in China.,"The predicted answer 'hot pot' is weakly related to the true answers as it is a popular food in China, but it is not specifically listed among the true answers. It does not match any true answer directly or through normalization, and it is not a sub-category of any true answer."
Al-en-04,What is the most popular fruit in China?,2,"['watermelon', 'pear', 'apple', 'orange']",The most popular fruit in China is the mandarin orange (or tangerine).,"The predicted answer 'mandarin orange (or tangerine)' is weakly related to the true answer 'orange' as they are both citrus fruits, but 'mandarin orange' is a specific type of orange, which is not explicitly listed in the true answers."
Al-en-06,What is a common school cafeteria food in China?,5,"['stir-fry', 'scrambled eggs with tomatoes', 'steamed bun', 'noodles', 'rice', 'bun', 'spicy hot pot', 'cooked wheaten food', 'tomato scrambled eggs', 'steamed stuffed bun', 'pasta']",Rice and stir-fried vegetables with meat (such as fried rice or chow mein) are common school cafeteria foods in China.,"The predicted answer includes 'rice' and 'stir-fried vegetables with meat', which matches 'rice' and 'stir-fry' from the true answers after normalization and lemmatization."
Al-en-08,What are the most commonly eaten snacks at shopping malls in China?,3,"['sunflower seeds', 'spicy strips', 'cake', 'sweets', 'sweet', 'candy', 'potato chips', 'melon seeds', 'chips', 'pastry', 'wangwang']","Popcorn, fried chicken, bubble tea, yogurt, candy, and snack foods like rice cakes, crispy snacks, and fruit skewers are commonly eaten snacks at shopping malls in China.","The predicted answer includes 'candy', which matches a true answer. Other items like 'popcorn', 'fried chicken', 'bubble tea', 'yogurt', and 'fruit skewers' are somewhat related to the concept of snacks but do not match the true answers. The predicted answer is somewhat related to the true answers, but not very similar."
Al-en-09,What is a popular snack at an amusement park in China?,1,"['cotton candy', 'sugar-coated haws', 'spicy stir-fried squid', 'marshmallow', 'bombing the giant squid', 'tanghulu', 'ice cream', 'candied haw', 'starch sausage', 'fruit']",Popcorn,"The predicted answer 'Popcorn' is unrelated to the true answers, which include specific snacks popular in Chinese amusement parks. There is no semantic or categorical similarity between 'Popcorn' and any of the true answers."
Al-en-16,"At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)",5,"['3', '4']",3,The predicted answer '3' matches one of the true answers '3' under case-insensitive comparison.
Al-en-17,What is a popular afterschool sport for elementary schools in China?,2,"['play soccer', 'basketball', 'jump rope', 'rubber band skipping', 'soccer', 'football', 'running', 'badminton', 'play football']",答案: Martial arts (such as Taekwondo or Chinese Kung Fu),"The predicted answer 'Martial arts (such as Taekwondo or Chinese Kung Fu)' is weakly related to the true answers, as it is a type of sport but not directly mentioned in the true answers. Martial arts is not a sub-category of any of the listed sports."
Al-en-18,For which subject do elementary students get private education in China?,4,"['literature', 'chinese', 'mathematics', 'math', 'physics', 'english']",Mandarin Chinese,"The predicted answer 'Mandarin Chinese' is a specific type of the true answer 'Chinese', which is a broader category. This aligns with the sub-category match rule."
Al-en-19,What is a popular second language for high school students in China?,5,"['japanese', 'korean', 'english']",English,The predicted answer 'English' matches one of the true answers exactly.
Al-en-21,Which subject is the most important for gifted education in China?,5,"['mathematics', 'computer science', 'math']",Mathematics,The predicted answer 'Mathematics' matches the true answers 'mathematics' and 'math' under case-insensitive comparison and simple lemmatization.
