ID,Translation,prompt,response,prompt_no
Al-en-01,What is a common snack for preschool kids in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a common snack for preschool kids in China?
Answer:","Mandarin oranges (or jiaozi, a type of dumpling) are a common snack for preschool kids in China.",inst-4
Al-en-02,What is a popular food to go with beer in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular food to go with beer in China?
Answer:",Hot pot (火锅) is a popular food to go with beer in China.,inst-4
Al-en-04,What is the most popular fruit in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular fruit in China?
Answer:",The most popular fruit in China is the mandarin orange (or tangerine).,inst-4
Al-en-06,What is a common school cafeteria food in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a common school cafeteria food in China?
Answer:",Rice and stir-fried vegetables with meat (such as fried rice or chow mein) are common school cafeteria foods in China.,inst-4
Al-en-08,What are the most commonly eaten snacks at shopping malls in China?,"Read the following question and provide a single answer without any explanations.

Question: What are the most commonly eaten snacks at shopping malls in China?
Answer:","Popcorn, fried chicken, bubble tea, yogurt, candy, and snack foods like rice cakes, crispy snacks, and fruit skewers are commonly eaten snacks at shopping malls in China.",inst-4
Al-en-09,What is a popular snack at an amusement park in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular snack at an amusement park in China?
Answer:",Popcorn,inst-4
Al-en-16,"At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",3,inst-4
Al-en-17,What is a popular afterschool sport for elementary schools in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular afterschool sport for elementary schools in China?
Answer:",答案: Martial arts (such as Taekwondo or Chinese Kung Fu),inst-4
Al-en-18,For which subject do elementary students get private education in China?,"Read the following question and provide a single answer without any explanations.

Question: For which subject do elementary students get private education in China?
Answer:",Mandarin Chinese,inst-4
Al-en-19,What is a popular second language for high school students in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular second language for high school students in China?
Answer:",English,inst-4
Al-en-21,Which subject is the most important for gifted education in China?,"Read the following question and provide a single answer without any explanations.

Question: Which subject is the most important for gifted education in China?
Answer:",Mathematics,inst-4
Al-en-32,What is the main dish for Thanksgiving in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the main dish for Thanksgiving in China?
Answer:","The main dish for Thanksgiving in China is not a traditional part of the holiday, as Thanksgiving is an American celebration. However, Chinese people may have their own meals or dishes during the holiday, which can vary greatly depending on regional cuisines and personal preferences. There is no specific, universally agreed-upon main dish for Thanksgiving in China.",inst-4
Al-en-33,What do people do to celebrate Halloween in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people do to celebrate Halloween in China?
Answer:","People in China do not have a widespread tradition of celebrating Halloween like it is in Western countries. However, with the increasing influence of globalization, some urban areas, particularly among expats and young Chinese, might organize Halloween-themed events or parties for fun and cultural exchange. These activities are not an integral part of Chinese culture but rather a imported celebration.",inst-4
Al-en-34,What do people do to celebrate New Year's Day in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people do to celebrate New Year's Day in China?
Answer:","People in China celebrate New Year's Day (Spring Festival) with various customs, including family reunions, eating团圆饭 (a big feast), setting off fireworks, giving red envelopes (hongbao) filled with money, watching dragon and lion dances, and decorating with couplets and lanterns.",inst-4
Al-en-35,What do people do to celebrate Christmas in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people do to celebrate Christmas in China?
Answer:","People in China celebrate Christmas in various ways, although it is not an officially recognized holiday like in many Western countries. Some Christians observe religious traditions, while others participate in festive activities for cultural exchange or simply as a global celebration. These may include decorating Christmas trees, exchanging gifts, having holiday-themed events, enjoying Western-style cuisine, or watching movies and concerts.",inst-4
Al-en-36,What food is associated with Halloween in China?,"Read the following question and provide a single answer without any explanations.

Question: What food is associated with Halloween in China?
Answer:",Mooncakes.,inst-4
