ID,Translation,prompt,response,prompt_no
Al-en-01,What is a common snack for preschool kids in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a common snack for preschool kids in China?",Mandarin oranges (橘子).,pers-3
Al-en-02,What is a popular food to go with beer in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a popular food to go with beer in China?",Pretzels or Barbecue (烤串) skewers.,pers-3
Al-en-04,What is the most popular fruit in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular fruit in China?",The most popular fruit in China is the mandarin orange (or tangerine).,pers-3
Al-en-06,What is a common school cafeteria food in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a common school cafeteria food in China?",Noodles with vegetables and meat.,pers-3
Al-en-08,What are the most commonly eaten snacks at shopping malls in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What are the most commonly eaten snacks at shopping malls in China?","Popcorn, fried chicken, bubble tea, fruit skewers, and snack foods like spicy peanuts or sesame balls.",pers-3
Al-en-09,What is a popular snack at an amusement park in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a popular snack at an amusement park in China?",Popcorn.,pers-3
Al-en-16,"At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)",3,pers-3
Al-en-17,What is a popular afterschool sport for elementary schools in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a popular afterschool sport for elementary schools in China?",Table tennis.,pers-3
Al-en-18,For which subject do elementary students get private education in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

For which subject do elementary students get private education in China?",Mandarin Chinese.,pers-3
Al-en-19,What is a popular second language for high school students in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a popular second language for high school students in China?",English,pers-3
