question_id,score,num_annotated_answers,annotated_answers,prediction_preview
Al-en-01,0,9,"cheese stick, dried fruit, potato chips...",Baozi (steamed buns)
Al-en-02,1,6,"peanuts, fried chicken, dried shrimp...",Peanuts
Al-en-04,0,4,"orange, apple, watermelon...",Bananas.
Al-en-06,1,11,"noodles, cooked wheaten food, pasta...",Rice.
Al-en-08,0,11,"potato chips, chips, wangwang...",Bubble tea and baozi.
Al-en-09,0,10,"marshmallow, cotton candy, ice cream...",Baozi (steamed buns)
Al-en-16,1,2,"3, 4",3
Al-en-17,0,9,"soccer, football, play soccer...",Table Tennis
Al-en-18,1,6,"mathematics, math, english...",Mathematics
Al-en-19,1,3,"english, japanese, korean",English
Al-en-21,1,3,"mathematics, math, computer science",Mathematics
Al-en-32,0,2,"roast chicken, fish","Thanksgiving is not a traditional holiday in China, so there is no main dish for Thanksgiving in Chi..."
Al-en-33,1,3,"gathering, party, dress up","Halloween is not traditionally celebrated in China, but some people might participate in Halloween-t..."
Al-en-34,0,10,"pasting chinese couplets, pasting spring couplets, pasting new year scrolls...","They celebrate with fireworks, family gatherings, and traditional food, marking the beginning of the..."
Al-en-35,0,5,"gathering, party, shopping...","Decorate their homes with paper lanterns and flowers, and give apples wrapped in colored paper as gi..."
Al-en-36,0,1,pumpkin,Yuebing (mooncakes)
Al-en-37,1,7,"turkey, fried chicken, steak...",Apple
Al-en-38,0,1,chocolate,"Qiaoqiao Day (Chinese Valentine's Day) is associated with Qiaoguo, a type of fried thin pastry made ..."
Al-en-39,1,5,"birthday cake, cake, longevity noodles...",Noodles
Al-en-40,0,4,"children's park, park, amusement park...",Beijing Zoo
Al-en-43,1,4,"mahjong, play mahjong, watch tv...",Playing Mahjong.
An-ar-02,1,2,"university cafeteria, canteen",University canteens or cafeterias.
An-ar-03,1,3,"6, 7, 1",6
An-ar-08,1,5,"9, 10, 11...",8
An-ar-09,1,2,"2, 3",2
An-ar-34,1,4,"soccer, football, basketball...",Basketball
An-ar-35,0,1,huang jianxiang,Zhang Lu
An-ar-36,0,7,"table tennis team, ping pong team, real madrid...",Beijing Guoan Football Club
An-ar-43,1,5,"family, home, pub...","Sports bars, restaurants, and homes."
Ca-sp-05,1,1,3,3
Ca-sp-06,1,3,"dinner, lunch, breakfast",Breakfast
Ca-sp-08,1,7,"rice, white flour, spring onion...",Rice
Ca-sp-09,1,5,"cake, pastry, cakes and pastries...",Mooncakes
Ca-sp-11,0,3,"friday, saturday, whenever it happens, it happens",Sunday
Ca-sp-14,1,2,"milk tea, tea",Tea
Ca-sp-19,1,4,"cocktail, beer, alcohol...",Alcoholic beverages or cocktails.
Ca-sp-21,0,2,"2, 1",10
Ca-sp-29,1,10,"set off firecrackers, lucky money, send red envelope...",Family reunion dinner
Ca-sp-38,1,5,"apartment building, apartment, house...",Siheyuan (courtyard house)
Ca-sp-41,0,7,"children's home, rural area, countryside...",Many dependent elderly in China live with their families.
Ca-sp-42,1,3,"14, 24, 2",14
Ca-sp-43,0,3,"0, 1, 3 days",2
Ca-sp-45,1,8,"popular city attractions, countryside views, rural beauty...",Beach resort or theme park.
Gu-ch-05,0,6,"walk, practice tai chi, playing tai chi...",Table Tennis
Gu-ch-06,1,5,"basketball, soccer, football...",Table Tennis (Ping Pong)
Gu-ch-07,1,10,"yao ming, ming yao, zhizhi wang...",Yao Ming
Gu-ch-08,1,5,"basketball, soccer, football...",Table Tennis
Gu-ch-09,1,6,"badminton, yoga, running...",Badminton and table tennis.
Gu-ch-11,1,4,"ping pong, table tennis, diving...",Table Tennis
Gu-ch-15,1,6,"basketball, soccer, football...",Basketball
Gu-ch-16,1,1,3,3
Gu-ch-18,1,2,"1, 2",1.7
Gu-ch-31,1,1,6,6
Gu-ch-32,1,1,9,9
Gu-ch-33,1,5,"5, 6, 10...",6
Gu-ch-38,1,1,4,4
Gu-ch-40,0,3,"16:30, 17:00, 16:00",15:00
Gu-ch-41,1,3,"1, 0, 2",1
Ji-ko-02,0,2,"friday, saturday",Thursday
Ji-ko-03,1,3,"shanghai, beijing, hong kong",Shanghai
Ji-ko-07,1,5,"tencent, alibaba, huawei...",Alibaba Group
Ji-ko-08,1,6,"40, 76, 50...",40
Ji-ko-09,1,8,"hot pot, barbecue, hot dishes...",Dumplings.
Ji-ko-14,0,6,"yiwu small commodities, mobile phone, textile...",Electronics.
Ji-ko-15,1,3,"1, 1.5, 0.5",1.5
Ji-ko-16,1,5,"postpartum care center, hospital, maternal home...",Maternity hotel (or postpartum care center)
Ji-ko-19,1,1,carnation,Carnation
Ji-ko-22,1,5,"clothes, gift, presents...","Traditionally, many people in China spend their first salary on gifts for their parents as a gesture..."
Ji-ko-24,0,5,"swing, slide, amusement park...",Playgrounds
Ji-ko-25,1,9,"mid-autumn festival, lunar new year, spring festival...","Chinese New Year, Qingming Festival, Dragon Boat Festival, Mid-Autumn Festival."
Ji-ko-26,1,4,"work, college graduate, buy a house...","Leaving home for education or work, marriage, and financial independence."
Ji-ko-27,0,6,"health care products, fruit basket, milk...",Health supplements or tea.
Ji-ko-28,1,4,"first month, one month old, birth feast...","The first day people celebrate after a child is born in China is the baby's one-month birthday, know..."
Ji-ko-29,0,5,"80, 90, 20...",60th birthday
Ji-ko-31,1,4,"school, classroom, extracurricular tutoring class...",At home or at school.
Ji-ko-33,1,7,"home, go home, playground...",They usually go home to study or to their rooms to do homework.
Ji-ko-34,0,3,"parent pick-up and drop-off, walk, take the bus","Elementary school students in China typically go to school by walking, riding bicycles, taking publi..."
Ji-ko-35,0,5,"private school, foreign language school, internation school...",Private tutoring.
Ji-ko-36,1,3,"mathematics, english, physics",Mathematics
Ji-ko-37,1,2,"school uniform, sportswear",Uniforms
Ji-ko-38,1,6,"medicine, aerospace science, law...",Tsinghua University's School of Architecture.
Ji-ko-39,0,7,"piano, guitar, violin...",Recorder
Ji-ko-40,1,8,"go to the toilet, chat, play...","Socialize, play games, or engage in recreational activities."
Ji-ko-41,0,2,"sneakers, leather shoes",Black canvas shoes.
Ji-ko-42,1,5,"mathematics, math, chinese...","Chinese, Mathematics, and a foreign language (usually English)."
Ji-ko-44,1,3,"beijing, zhejiang, shanghai","Haidian District, Beijing"
Ji-ko-45,0,4,"holiday, dance, national day...",Concerts and performances.
Jo-sp-01,1,3,"basketball, soccer, football",Basketball
Jo-sp-02,0,7,"chinese chess, guandan, fishing...",Table tennis (ping pong)
Jo-sp-09,1,2,"golf, tennis",Golf and equestrian sports.
Jo-sp-13,1,6,"swimming, diving, jet ski...",Dragon boat racing.
Jo-sp-14,1,4,"go, chinese chess, mahjong...",Xiangqi (Chinese Chess)
Jo-sp-18,1,5,"10, 15, 115...",11
Jo-sp-19,1,6,"henan, northeast, northeast plain...",The North China Plain.
Jo-sp-21,1,4,"12:00, 12:30, 13:00...",12:00
Jo-sp-31,0,5,"22:00, 17:15, 18:00...",17:00
Jo-sp-32,0,9,"running, soccer, football...",Table Tennis
Jo-sp-36,1,5,"8, 10, 6...",8
Jo-sp-37,1,3,"8, 7, 3",6-8
Jo-sp-39,1,2,"6, 7",6
Jo-sp-43,0,2,"1, 2","The question is too broad and lacks specific context. In China, the number of languages studied in e..."
Jod-ch-01,1,1,chopsticks,Chopsticks.
Jod-ch-04,1,7,"coke, cola, bubble tea...",Coca-Cola
Jod-ch-06,0,5,"bai, white liquor, chinese spirits...",Baijiu
Jod-ch-07,1,3,"2, 1.5, 1",1.5
Jod-ch-09,1,2,"18:00, 19:00",18:00
Jod-ch-12,0,5,"tomato potato soup, pork bone soup, fresh soup...",Hot and sour soup.
Jod-ch-13,0,8,"roasted sausage, barbecue skewers, sugar-coated haws...",Baozi (steamed buns)
Jod-ch-15,1,8,"crab, fish, salmon...",Fish
Jod-ch-16,1,4,"lunar new year, spring festival, chinese new year...",Spring Festival (Chinese New Year)
Jod-ch-28,1,5,"high-speed rail, airplane, high-speed train...",High-speed train.
Jod-ch-30,1,7,"chinese knot, couplet, new year scrolls...","Red lanterns, dragons, fireworks, couplets, paper cuttings, and the color red."
Jod-ch-37,0,7,"diving, ping pong, table tennis...",Football (Soccer)
Jod-ch-38,1,7,"soccer, football, basketball...",Football (Soccer)
Jod-ch-41,1,12,"shopping, travel, tourism...",Shopping.
Jod-ch-42,0,9,"play games, basketball, running...",Playing video games.
Jod-ch-46,1,2,"1, 0.5",1.5
Jod-ch-48,1,8,"rice, canteen boxed meal, canteen...",Rice or noodles with vegetables and meat or fish.
Jod-ch-50,0,3,"60, 90, 30",52
Jod-ch-51,1,7,"metro, subway, private car...",Bus
Jod-ch-54,1,2,"3, 2",3
Jod-ch-56,1,3,"55, 60, 65",60
Jod-ch-57,1,3,"60, 65, 61",60
Jod-ch-58,0,7,"teacher, civil servant, company president...",Doctor.
Jod-ch-60,1,2,"8, 9",8
Jod-ch-61,1,4,"teacher, civil servant, social media influencer...",Teacher
Jod-ch-62,0,8,"civil servant, investment bank, doctor...",Entrepreneur/business owner.
Ki-pe-17,1,5,"undergraduate, bachelor, high school...",high school
Ki-pe-24,1,2,"chinese, chinese language",Chinese (Mandarin)
Ki-pe-30,1,2,"saturday, sunday",Saturday and Sunday
Ki-pe-32,0,10,"stir-fry, cold dish, dim sum...",Dumplings (Jiaozi)
Ki-pe-34,0,2,"soy milk, milk",Tea
Ki-pe-36,0,8,"america, us, united states...",Japanese
Ki-pe-39,1,7,"fruit, ready-to-cook meal, snacks...","Cold dishes, dumplings, and fruits."
Ki-pe-40,1,4,"century egg, preserved egg, dog meat...",Century egg
Ki-pe-43,0,5,"european-style bread, european bread, dirty bun...",Mantou
Ki-pe-51,0,2,"18:00, 17:00",17:30
Ki-pe-53,1,2,"09:00, 08:00",09:00
Kik-in-01,1,6,"lunar new year, spring festival, chinese new year...",Spring Festival (Chinese New Year)
Kik-in-02,0,6,"travel, tourism, stay at home...","China does not celebrate Independence Day; instead, they celebrate National Day on October 1st."
Kik-in-04,1,4,"white mourning banner, funeral couplet, white lantern...",A white banner or white lanterns.
Kik-in-06,0,6,"engagement ceremony, banquet, sacrificial ceremony...",Tea Ceremony
Kik-in-07,1,7,"red packet, red envelope, red envelope with lucky money...",Red envelopes (hongbao) containing money.
Kik-in-10,1,5,"great wall, forbidden city, the palace museum...",The Great Wall of China
Kik-in-11,0,8,"shaolin temple, wudang mountains, mount wutai...",The Forbidden City (Palace Museum) in Beijing.
Kik-in-15,1,3,"academic dress, bachelor's gown, white clothes",Academic dress (cap and gown)
Kik-in-16,1,10,"tea, soup, bai...",Hot tea.
Kik-in-17,0,3,"coconut, melon, apple",Dates
Kik-in-24,1,3,"rice, fries, meal",Rice
Kik-in-31,1,5,"chinese kung fu, chinese martial arts, kung fu...",Kung Fu (also known as Wushu)
Kik-in-34,1,7,"table tennis, basketball, soccer...","Football (soccer), basketball, table tennis, badminton, and volleyball."
Kik-in-35,0,3,"aerobics, fitness ring, stay at home",Table tennis and badminton.
Kik-in-36,0,4,"li tie, li fenglou, fan zhiyi...",Marcello Lippi
Kik-in-37,0,5,"evergrande vs. luneng, shandong luneng vs guangdong evergrande, shanghai sipg vs shanghai shenhua...",Beijing Guoan vs Shanghai Shenhua
Kik-in-38,0,1,beijing guoan vs tianjin teda,Beijing Guoan vs Shanghai Shenhua
Kik-in-40,1,1,lin dan,Lin Dan
Kik-in-41,0,2,"xie xingfang, chen yufei",Lin Dan
Kik-in-44,1,8,"ping pong, table tennis, diving...",Table Tennis
Kik-in-45,1,8,"basketball court, soccer stadium, soccer field...",Basketball courts
Na-ko-02,0,4,"latte, latte coffee, milk coffee...",Tea
Na-ko-04,1,6,"porridge, honey water, peanuts...",Congee (rice porridge)
Na-ko-05,0,9,"skewers, barbecue, malatang...",Dumplings (Jiaozi)
Na-ko-07,1,3,"pork, chicken, beef",Pork
Na-ko-08,0,4,"apple, pomelo, pear...",Persimmon
Na-ko-09,0,6,"green vegetables, stir-fried green vegetables, chinese cabbage...",Rice
Na-ko-11,0,5,"potato chips, chips, food to accompany alcohol...","Snacks such as sunflower seeds, peanuts, or popcorn."
Na-ko-15,0,6,"ginseng, edible bird's nests, swallow nests...",Rice
Na-ko-16,0,6,"wu lei, lei wu, fan zhiyi...",Wang Shuang
Na-ko-17,1,4,"play basketball, basketball, reach jump...",Basketball
Na-ko-18,0,6,"basketball, jump rope, running...",Table Tennis
Na-ko-19,0,2,"lang ping, wei qiuyue",Zhu Ting
Na-ko-20,0,6,"soccer, football, basketball...",Olympic Games
Na-ko-22,1,5,"japan, south korea, argentina...",Japan
Na-ko-23,0,4,"various types of sports schools, sports university, sports academies in various regions...",Table Tennis Academies
Na-ko-24,0,3,"popcorn, roasted sausage, energy bar",Roasted sunflower seeds
Na-ko-25,0,8,"long jump, running, high jump...","Track and field, table tennis, badminton, basketball."
Na-ko-26,0,4,"square dance, square dancing, mahjong...",Table tennis and badminton.
Na-ko-28,1,2,"eileen gu, wang meng",Eileen Gu
Na-ko-29,1,2,"sun yang, zhang lin",Sun Yang
Na-ko-30,1,4,"honor of kings, league of legends, dota...",Honor of Kings (also known as Arena of Valor internationally)
Na-ko-33,1,6,"dumplings, tangyuan, glutinous rice balls...",Dumplings
Na-ko-37,1,13,"great wall, west lake, hangzhou west lake...",Hainan
Na-ko-38,0,4,"ring, wedding ring, gold jewelry...",Red envelope with money (hóngbāo).
Na-ko-39,1,3,"red envelope, cash red envelope, cash gift",Red envelope with money (hóngbāo).
