question_id,score,num_annotated_answers,annotated_answers,prediction_preview
Al-en-01,0,9,"cheese stick, dried fruit, potato chips...",biscuits
Al-en-02,0,6,"peanuts, fried chicken, dried shrimp...",skewers
Al-en-04,1,4,"orange, apple, watermelon...",Watermelon
Al-en-06,1,11,"noodles, cooked wheaten food, pasta...",Rice with stir-fried vegetables
Al-en-08,0,11,"potato chips, chips, wangwang...",Bubble tea and roasted chestnuts
Al-en-09,0,10,"marshmallow, cotton candy, ice cream...",popcorn
Al-en-16,1,2,"3, 4",3
Al-en-17,0,9,"soccer, football, play soccer...",Table tennis
Al-en-18,1,6,"mathematics, math, english...",Mathematics and English
Al-en-19,1,3,"english, japanese, korean",English
Al-en-21,1,3,"mathematics, math, computer science",Mathematics
Al-en-32,0,2,"roast chicken, fish",China doesn't celebrate Thanksgiving.
Al-en-33,1,3,"gathering, party, dress up",Parties and costumes.
Al-en-34,0,10,"pasting chinese couplets, pasting spring couplets, pasting new year scrolls...","Fireworks, family dinner"
Al-en-35,0,5,"gathering, party, shopping...","They often exchange gifts, decorate with Christmas lights, and enjoy a special meal. However, it's n..."
Al-en-36,0,1,pumpkin,Halloween snacks
Al-en-37,1,7,"turkey, fried chicken, steak...",Apple
Al-en-38,1,1,chocolate,Chocolate
Al-en-39,1,5,"birthday cake, cake, longevity noodles...",Longevity noodles
Al-en-40,1,4,"children's park, park, amusement park...",Public parks or zoos
Al-en-43,0,4,"mahjong, play mahjong, watch tv...",watching TV
An-ar-02,1,2,"university cafeteria, canteen",In the university canteen.
An-ar-03,1,3,"6, 7, 1",6
An-ar-08,1,5,"9, 10, 11...",10
An-ar-09,1,2,"2, 3",2
An-ar-34,1,4,"soccer, football, basketball...",Basketball
An-ar-35,1,1,huang jianxiang,Huang Jianxiang
An-ar-36,1,7,"table tennis team, ping pong team, real madrid...",The Chinese National Table Tennis Team
An-ar-43,1,5,"family, home, pub...","Sports bars, homes, and public squares."
Ca-sp-05,1,1,3,3
Ca-sp-06,1,3,"dinner, lunch, breakfast",Dinner
Ca-sp-08,1,7,"rice, white flour, spring onion...",Rice
Ca-sp-09,0,5,"cake, pastry, cakes and pastries...",Red bean soup
Ca-sp-11,0,3,"friday, saturday, whenever it happens, it happens",Sunday
Ca-sp-14,1,2,"milk tea, tea",Green tea
Ca-sp-19,1,4,"cocktail, beer, alcohol...",Beer or Baijiu
Ca-sp-21,1,2,"2, 1",2
Ca-sp-29,1,10,"set off firecrackers, lucky money, send red envelope...",Having a family reunion dinner
Ca-sp-38,1,5,"apartment building, apartment, house...",Apartment
Ca-sp-41,0,7,"children's home, rural area, countryside...",With their adult children.
Ca-sp-42,0,3,"14, 24, 2",18
Ca-sp-43,0,3,"0, 1, 3 days",3–4
Ca-sp-45,1,8,"popular city attractions, countryside views, rural beauty...",Beach or historical sites
Gu-ch-05,1,6,"walk, practice tai chi, playing tai chi...",Tai Chi
Gu-ch-06,1,5,"basketball, soccer, football...",Basketball and soccer
Gu-ch-07,1,10,"yao ming, ming yao, zhizhi wang...",Yao Ming
Gu-ch-08,1,5,"basketball, soccer, football...",Basketball
Gu-ch-09,1,6,"badminton, yoga, running...",Badminton and Table Tennis
Gu-ch-11,1,4,"ping pong, table tennis, diving...",Table Tennis
Gu-ch-15,1,6,"basketball, soccer, football...",Basketball
Gu-ch-16,1,1,3,3
Gu-ch-18,1,2,"1, 2",1
Gu-ch-31,1,1,6,6
Gu-ch-32,1,1,9,9
Gu-ch-33,1,5,"5, 6, 10...",6
Gu-ch-38,1,1,4,4
Gu-ch-40,1,3,"16:30, 17:00, 16:00",16:00
Gu-ch-41,1,3,"1, 0, 2",1
Ji-ko-02,1,2,"friday, saturday",Friday
Ji-ko-03,1,3,"shanghai, beijing, hong kong",Shanghai
Ji-ko-07,1,5,"tencent, alibaba, huawei...",Alibaba Group
Ji-ko-08,0,6,"40, 76, 50...",44
Ji-ko-09,1,8,"hot pot, barbecue, hot dishes...",Hot pot or Peking duck
Ji-ko-14,0,6,"yiwu small commodities, mobile phone, textile...",Electronics
Ji-ko-15,0,3,"1, 1.5, 0.5",2
Ji-ko-16,1,5,"postpartum care center, hospital, maternal home...",home
Ji-ko-19,1,1,carnation,Carnation
Ji-ko-22,1,5,"clothes, gift, presents...",A gift for parents
Ji-ko-24,1,5,"swing, slide, amusement park...",Public playgrounds or amusement parks
Ji-ko-25,1,9,"mid-autumn festival, lunar new year, spring festival...","Chinese New Year, Mid-Autumn Festival, Qingming Festival, and Dragon Boat Festival."
Ji-ko-26,0,4,"work, college graduate, buy a house...","Starting school, graduating from university, getting a job, and getting married."
Ji-ko-27,0,6,"health care products, fruit basket, milk...",Fruit or tea
Ji-ko-28,0,4,"first month, one month old, birth feast...",One-month birthday
Ji-ko-29,0,5,"80, 90, 20...",60th birthday
Ji-ko-31,1,4,"school, classroom, extracurricular tutoring class...",At home or in school libraries
Ji-ko-33,0,7,"home, go home, playground...",They usually go to their rooms to study or do homework.
Ji-ko-34,0,3,"parent pick-up and drop-off, walk, take the bus","Mostly by walking or biking, some are dropped off by parents."
Ji-ko-35,0,5,"private school, foreign language school, internation school...",Tutoring or cram schools
Ji-ko-36,1,3,"mathematics, english, physics",Mathematics academy
Ji-ko-37,1,2,"school uniform, sportswear",School uniforms
Ji-ko-38,1,6,"medicine, aerospace science, law...",Medicine
Ji-ko-39,1,7,"piano, guitar, violin...",Piano
Ji-ko-40,1,8,"go to the toilet, chat, play...","They usually study, chat with friends, or play games on their phones."
Ji-ko-41,1,2,"sneakers, leather shoes",Sneakers
Ji-ko-42,1,5,"mathematics, math, chinese...","Chinese, Mathematics, English, and a choice between Science (Physics, Chemistry, Biology) and Humani..."
Ji-ko-44,1,3,"beijing, zhejiang, shanghai",Haidian District in Beijing
Ji-ko-45,0,4,"holiday, dance, national day...",Performances and food stalls
Jo-sp-01,1,3,"basketball, soccer, football",Basketball
Jo-sp-02,0,7,"chinese chess, guandan, fishing...",Badminton
Jo-sp-09,1,2,"golf, tennis",Golf and Tennis
Jo-sp-13,1,6,"swimming, diving, jet ski...",Swimming
Jo-sp-14,1,4,"go, chinese chess, mahjong...",Go (Weiqi)
Jo-sp-18,1,5,"10, 15, 115...",11
Jo-sp-19,1,6,"henan, northeast, northeast plain...",North China Plain
Jo-sp-21,1,4,"12:00, 12:30, 13:00...",12:00
Jo-sp-31,0,5,"22:00, 17:15, 18:00...",17:00
Jo-sp-32,0,9,"running, soccer, football...",Table Tennis
Jo-sp-36,1,5,"8, 10, 6...",8
Jo-sp-37,1,3,"8, 7, 3",8
Jo-sp-39,1,2,"6, 7",6
Jo-sp-43,1,2,"1, 2",1
Jod-ch-01,1,1,chopsticks,Chopsticks
Jod-ch-04,1,7,"coke, cola, bubble tea...",Coca-Cola
Jod-ch-06,0,5,"bai, white liquor, chinese spirits...",Baijiu
Jod-ch-07,1,3,"2, 1.5, 1",1.5
Jod-ch-09,1,2,"18:00, 19:00",18:00
Jod-ch-12,0,5,"tomato potato soup, pork bone soup, fresh soup...",Hot and sour soup
Jod-ch-13,0,8,"roasted sausage, barbecue skewers, sugar-coated haws...",Jianbing (Chinese crepes)
Jod-ch-15,1,8,"crab, fish, salmon...","Shrimp, crab, and fish."
Jod-ch-16,1,4,"lunar new year, spring festival, chinese new year...",Chinese New Year
Jod-ch-28,1,5,"high-speed rail, airplane, high-speed train...",High-speed train
Jod-ch-30,1,7,"chinese knot, couplet, new year scrolls...","Red lanterns, couplets, dragon and lion dances, and the character ""Fu"" which means fortune."
Jod-ch-37,1,7,"diving, ping pong, table tennis...",Basketball and badminton
Jod-ch-38,1,7,"soccer, football, basketball...",Soccer and Basketball
Jod-ch-41,1,12,"shopping, travel, tourism...",Shopping and karaoke.
Jod-ch-42,0,9,"play games, basketball, running...",Playing video games
Jod-ch-46,1,2,"1, 0.5",1.5
Jod-ch-48,1,8,"rice, canteen boxed meal, canteen...",Rice or noodles with vegetables and meat.
Jod-ch-50,0,3,"60, 90, 30",52
Jod-ch-51,1,7,"metro, subway, private car...",Public bus or subway
Jod-ch-54,1,2,"3, 2",3
Jod-ch-56,1,3,"55, 60, 65",55
Jod-ch-57,1,3,"60, 65, 61",60
Jod-ch-58,0,7,"teacher, civil servant, company president...",Doctor
Jod-ch-60,1,2,"8, 9",8
Jod-ch-61,1,4,"teacher, civil servant, social media influencer...",Teacher
Jod-ch-62,1,8,"civil servant, investment bank, doctor...",Engineer
Ki-pe-17,0,5,"undergraduate, bachelor, high school...",Most students pursue their education up to university level.
Ki-pe-24,1,2,"chinese, chinese language",Chinese
Ki-pe-30,1,2,"saturday, sunday",Saturday and Sunday
Ki-pe-32,1,10,"stir-fry, cold dish, dim sum...",Dumplings or Peking Duck
Ki-pe-34,1,2,"soy milk, milk",Soy milk
Ki-pe-36,0,8,"america, us, united states...",Japanese food
Ki-pe-39,0,7,"fruit, ready-to-cook meal, snacks...",Rice balls and dumplings
Ki-pe-40,1,4,"century egg, preserved egg, dog meat...",Century eggs
Ki-pe-43,0,5,"european-style bread, european bread, dirty bun...",Mantou
Ki-pe-51,1,2,"18:00, 17:00",17:00
Ki-pe-53,0,2,"09:00, 08:00",08:30
Kik-in-01,1,6,"lunar new year, spring festival, chinese new year...",Chinese New Year
Kik-in-02,0,6,"travel, tourism, stay at home...",China does not celebrate Independence Day.
Kik-in-04,1,4,"white mourning banner, funeral couplet, white lantern...",A white mourning banner
Kik-in-06,0,6,"engagement ceremony, banquet, sacrificial ceremony...",Tea Ceremony
Kik-in-07,1,7,"red packet, red envelope, red envelope with lucky money...",Red envelopes with money
